"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5502.42618208218","5558.82254383483","4334.43328382274","3361.03306933272","2719.33792430653","2420.44356801626","2471.58466509746","2634.15861650355","2901.35165642913","3136.09387178745","3534.32912410323","3942.08485345263","4393.96717953817","4945.90791608053","5551.44881440633","7169.15040780596","9830.16255861244","12477.3846098912","13799.7860726199","14900.5085714802","15627.6055585071","15754.1523626148","16173.4472399451","17142.7599202813","17515.6237584099","",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","678.119601074586","717.018156984074","723.717269941253","680.302963744782","655.737456327309","606.02403649844","559.259800142624","552.203536707019","576.492760953317","569.624798950655","565.357928717445","574.868256642293","591.494013233375","576.478186403443","599.85609563634","603.265538682816","632.647432807266","656.867744893409","679.061452394428","683.468681159407","693.470000718444","712.670483388994","729.697898939651","749.326721734969","769.88195403166","",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19045.9873078975","19966.3860773095","20650.1624881637","20856.4671189072","21920.0043164652","22862.9099309956","23249.2069806323","24253.7661704763","24769.8636965645","25869.4351478275","28218.2691752524","29136.4868310971","30711.3724231223","31007.4433500576","31946.2630602731","33007.7857473352","35168.9991303442","36621.1118711206","37953.8479659974","37741.0053706983","39211.3365794801","40945.9163746668","41397.1831420231","41572.64213537","42725.3105650476","",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","880.193020151304","914.772828156009","928.245691432226","969.003448418612","973.962352466772","1019.35216635856","1049.4184909067","1095.77197850533","1118.96304416446","1162.32604639464","1209.10153711038","1272.62348662687","1305.64443455612","1338.09711363542","1371.77490969285","1410.27948389107","1461.46748716126","1522.19640397651","1581.5920274205","1588.69319187344","1603.44833824991","1643.37800566935","1715.70764961218","1790.93256681602","1864.71732618861","",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","530.784822574745","582.396552718304","581.194331961613","599.161370575733","603.279081617617","633.432173417632","696.509470606504","732.492308909179","772.580592887615","819.042147967812","829.052380831359","878.607241092728","904.627383414373","966.30566159306","1007.36825612515","1096.6888644056","1165.27425917682","1225.85088003514","1300.49806217082","1308.54603757113","1393.5627158333","1470.43518369954","1546.93776840337","1626.29762856575","1667.59000053424","",
"Bangladesh","BGD","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","834.047025011443","871.080523855315","918.454788157511","963.302783429829","1000.28291597263","1050.6539368123","1094.56715574745","1138.93429243559","1185.98771031631","1235.14750679525","1304.44234923524","1375.75910353721","1424.31222689885","1495.52922061312","1591.40438145526","1724.42770201255","1871.0001264933","2031.77850912561","2171.62971784397","2273.16418725793","2401.71873034578","2579.33504808833","2763.51069209284","2937.40380258784","3124.36688562126","",
"Bulgaria","BGR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5408.99170447114","5167.96045081315","4954.2782339794","5037.09086313293","5255.62700881491","5543.3352386587","5282.90705942219","5408.92824931437","6123.13781476922","5849.44845083939","6445.30705291818","6975.85686538062","7752.29730419792","8396.4700951379","9096.6635566204","9947.10586168254","11229.4343933351","12984.9038587141","14565.9092566452","14409.6440978321","14690.4921407297","15278.4219487047","15671.826255062","15731.7019975447","16323.8400000049","",
"Bahrain","BHR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22879.1150474346","25588.1846894866","27222.9191037006","30697.4414303076","30505.8968328716","31529.0051577753","32494.6062567175","33048.3314195307","33861.9055801242","34579.9929458029","35792.0452529983","36005.7544734476","36288.4672481566","37374.8955714811","38724.490415744","39770.7606959689","40220.9425507846","40979.8713257434","40843.8458602319","39343.2252451746","39423.6511339632","39676.7170222452","40973.7085615681","43289.3060699565","45478.9388359646","",
"Bahamas, The","BHS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15693.3563593846","15253.2671690844","14721.3388377097","14837.4359601331","15361.9403733707","16120.8287725759","16888.923681645","17338.2008723318","18157.7263984107","19515.9564471382","20486.8372224785","21131.6687483771","21606.4370579113","21304.6613457647","21619.3945417132","22602.8861417428","23417.2342477547","23928.0211719705","23397.8156576054","22196.8193561702","22431.1375471003","22665.167557113","23224.1089556889","23235.1138341757","23491.1233537885","",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","918.622427251425","1165.83316577557","2283.54552144373","3147.21862860941","3681.03433679354","4086.96263226437","4399.99032649746","4689.77992417579","5002.82499520473","5294.22333085775","5758.71553007037","6228.99161216605","7154.58324115178","7855.20950279114","8616.89853417782","8523.64475350126","8770.40613348051","9265.01588751072","9369.88655793426","9549.94745002713","9922.8345981732","",
"Belarus","BLR","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5224.69250684203","5331.20928690218","4918.65495371008","4642.51576298334","4191.49271436421","3846.31898784914","4039.67227115459","4596.67255482108","5060.88041382826","5331.03262706484","5785.87421107449","6245.42506867358","6703.77576194071","7369.82847355115","8497.62122489694","9662.05421277982","11022.0863514633","12345.1055172397","13917.7566866683","14082.5381963803","15385.4592122602","16603.3895298874","17210.4391657534","17650.6785254421","18184.8635799703","",
"Belize","BLZ","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3338.86593252814","3740.85100024011","4216.16718090204","4510.93816696068","4521.25467445955","4526.67803612383","4528.31149076863","4598.35723350953","4640.37429308171","4937.77158486209","5517.29753316079","5747.64954017185","5965.83768329377","6481.16866721792","6793.4095237741","7010.10316829616","7362.31987189709","7445.85849687039","7638.38005668897","7559.67696930477","7717.44850167539","7857.22419793338","8118.87560041573","8183.61837219183","","",
"Bermuda","BMU","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26210.8737141067","26261.1454561586","27038.8743526164","28362.5456445668","28938.4147585558","30621.6751792246","31787.7634839982","33613.3722864306","35044.9511541447","36579.5631787005","40535.2079875028","43976.0921857424","43706.0345397271","45797.3203525509","47835.4389897208","49877.2839466523","53949.4234475467","56640.9886500112","58288.6118094995","55320.1613663993","55254.2139022063","54984.5103947777","53073.2821691122","52347.4969749938","","",
"Bolivia","BOL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2395.34851761304","2554.65769712225","2604.08028926313","2725.54114341659","2856.50073568866","2992.85604612768","3118.28758478635","3263.90617333715","3398.17159007385","3398.65407263608","3496.16676111487","3568.9196256218","3646.41156365668","3751.85678137453","3945.45331434825","4178.99004502142","4437.20718205866","4683.43746358722","4985.26225862039","5107.22140314561","5296.39722238607","5595.18088896488","5896.53837723459","6290.85430737102","6624.0861157029","",
"Brazil","BRA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6644.20382660233","6854.15739601221","6867.09409099818","7245.00370404323","7674.83266485088","8055.5646553222","8253.05574905046","8544.81704120219","8534.87801396249","8575.39104620915","9017.7941614644","9203.41888542902","9492.0310404992","9661.94844935176","10349.3130587684","10880.5557604659","11527.6360676218","12409.4156614603","13152.4901935871","13091.2711531445","14117.2585678044","14830.8995611937","15220.2286284204","15726.4881003078","15838.0204149206","",
"Barbados","BRB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8363.96500435647","8361.5815109124","8098.39683921468","8344.15834174659","8829.44541509284","9115.221015852","9417.09171087132","10152.4460711724","10644.5875045313","11047.650117827","11519.5956214274","11445.680610937","11665.3792995099","12097.9006406162","12570.3988496079","13448.0417412023","14597.4830946944","15174.9155192157","15460.6830262464","14871.4905876011","15031.8994825762","15401.5496498863","15625.0393209865","13393.6570472741","13575.1205198738","",
"Brunei Darussalam","BRN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49814.9725990768","51601.1320725777","53739.0398980322","53660.5146072075","55010.7249537359","57164.2994691111","58410.3924079223","57157.0984442198","56162.4558097942","57503.0968025677","59253.6770379152","61062.5817229677","63217.4296886696","65178.5289437789","66146.0728782946","67366.8335946888","71257.3312685062","72032.3888851858","70824.084098488","68962.8547848636","70486.3327839691","73265.1216346752","74160.9066035776","72871.4368052252","76753.6159981763","",
"Bhutan","BTN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1507.86000941776","1554.0978211243","1683.41297665071","1788.99459717079","1945.52539847704","2136.98710290759","2281.49555458449","2405.15909464628","2514.28407412578","2681.77021099579","2850.81597236478","3064.82777615496","3344.15986728385","3564.72322445822","3770.09466671266","4060.20166152906","4365.9358846209","5172.72692238465","5418.20199924151","5717.16570112085","6354.39390951885","6882.68840700056","7248.09901026274","7397.81535670718","7867.20340689996","",
